name,Urban area burned (square meters),year,Buffer type,Time since fire ignition (hours)
1009_0200,0,2090rcp45,RCP45 baseline,17
1009_0300,0,2090rcp45,RCP45 baseline,17
1009_0400,0,2090rcp45,RCP45 baseline,17
1009_0500,11928.68563,2090rcp45,RCP45 baseline,20
1009_0600,206957.2085,2090rcp45,RCP45 baseline,20
1009_0700,239802.8096,2090rcp45,RCP45 baseline,20
1009_0800,661826.0889,2090rcp45,RCP45 baseline,23
1009_0900,2289088.012,2090rcp45,RCP45 baseline,23
1009_1000,4156103.245,2090rcp45,RCP45 baseline,23
1009_1100,3132856.872,2090rcp45,RCP45 baseline,26
1009_1200,3791175.463,2090rcp45,RCP45 baseline,26
1009_1300,7680456.648,2090rcp45,RCP45 baseline,26
1009_1400,6322677.055,2090rcp45,RCP45 baseline,29
1009_1500,9979065.457,2090rcp45,RCP45 baseline,29
1009_1600,9939855.237,2090rcp45,RCP45 baseline,29
1009_1700,12585806.82,2090rcp45,RCP45 baseline,32
1009_1800,15170291.04,2090rcp45,RCP45 baseline,32
1009_1900,14977141.04,2090rcp45,RCP45 baseline,32
1009_2000,17368867.36,2090rcp45,RCP45 baseline,35
1009_2100,18995297.75,2090rcp45,RCP45 baseline,35
1009_2200,17541561.76,2090rcp45,RCP45 baseline,35
1009_2300,20721115.48,2090rcp45,RCP45 baseline,38
1009_2400,21646353.1,2090rcp45,RCP45 baseline,38
1010_0100,21544897.17,2090rcp45,RCP45 baseline,38
1009_0200,0,2090rcp45,Banana small,17
1009_0300,0,2090rcp45,Banana small,17
1009_0400,0,2090rcp45,Banana small,17
1009_0500,0,2090rcp45,Banana small,20
1009_0600,0,2090rcp45,Banana small,20
1009_0700,79558.96135,2090rcp45,Banana small,20
1009_0800,605506.7917,2090rcp45,Banana small,23
1009_0900,77609.83201,2090rcp45,Banana small,23
1009_1000,1382932.41,2090rcp45,Banana small,23
1009_1100,3135152.649,2090rcp45,Banana small,26
1009_1200,3775389.713,2090rcp45,Banana small,26
1009_1300,5846762.668,2090rcp45,Banana small,26
1009_1400,6176755.765,2090rcp45,Banana small,29
1009_1500,6139609.941,2090rcp45,Banana small,29
1009_1600,7650705.08,2090rcp45,Banana small,29
1009_1700,8641119.596,2090rcp45,Banana small,32
1009_1800,10909954.95,2090rcp45,Banana small,32
1009_1900,12108583.31,2090rcp45,Banana small,32
1009_2000,12666951.92,2090rcp45,Banana small,35
1009_2100,13687415.58,2090rcp45,Banana small,35
1009_2200,12906161.27,2090rcp45,Banana small,35
1009_2300,15378440.79,2090rcp45,Banana small,38
1009_2400,17380391.26,2090rcp45,Banana small,38
1010_0100,17741721.75,2090rcp45,Banana small,38
1009_0200,0,2090rcp45,Banana medium,17
1009_0300,0,2090rcp45,Banana medium,17
1009_0400,0,2090rcp45,Banana medium,17
1009_0500,0,2090rcp45,Banana medium,20
1009_0600,538.649282,2090rcp45,Banana medium,20
1009_0700,163149.9241,2090rcp45,Banana medium,20
1009_0800,,2090rcp45,Banana medium,23
1009_0900,777302.3324,2090rcp45,Banana medium,23
1009_1000,629733.6448,2090rcp45,Banana medium,23
1009_1100,2790216.408,2090rcp45,Banana medium,26
1009_1200,2724193.49,2090rcp45,Banana medium,26
1009_1300,2289750.356,2090rcp45,Banana medium,26
1009_1400,4065931.956,2090rcp45,Banana medium,29
1009_1500,3936884.988,2090rcp45,Banana medium,29
1009_1600,2377198.901,2090rcp45,Banana medium,29
1009_1700,8124346.697,2090rcp45,Banana medium,32
1009_1800,7738591.759,2090rcp45,Banana medium,32
1009_1900,8703170.26,2090rcp45,Banana medium,32
1009_2000,11414618.06,2090rcp45,Banana medium,35
1009_2100,11869678.34,2090rcp45,Banana medium,35
1009_2200,13758466.44,2090rcp45,Banana medium,35
1009_2300,14594176.33,2090rcp45,Banana medium,38
1009_2400,14995378.58,2090rcp45,Banana medium,38
1010_0100,16149742.39,2090rcp45,Banana medium,38
1009_0200,0,2090rcp45,Banana very large,17
1009_0300,0,2090rcp45,Banana very large,17
1009_0400,0,2090rcp45,Banana very large,17
1009_0500,0,2090rcp45,Banana very large,20
1009_0600,0,2090rcp45,Banana very large,20
1009_0700,0,2090rcp45,Banana very large,20
1009_0800,0,2090rcp45,Banana very large,23
1009_0900,0,2090rcp45,Banana very large,23
1009_1000,0,2090rcp45,Banana very large,23
1009_1100,0,2090rcp45,Banana very large,26
1009_1200,0,2090rcp45,Banana very large,26
1009_1300,0,2090rcp45,Banana very large,26
1009_1400,0,2090rcp45,Banana very large,29
1009_1500,0,2090rcp45,Banana very large,29
1009_1600,0,2090rcp45,Banana very large,29
1009_1700,0,2090rcp45,Banana very large,32
1009_1800,0,2090rcp45,Banana very large,32
1009_1900,0,2090rcp45,Banana very large,32
1009_2000,0,2090rcp45,Banana very large,35
1009_2100,0,2090rcp45,Banana very large,35
1009_2200,0,2090rcp45,Banana very large,35
1009_2300,0,2090rcp45,Banana very large,38
1009_2400,0,2090rcp45,Banana very large,38
1010_0100,0,2090rcp45,Banana very large,38
